text,intent,response,language,channel,source
why is available balance different after 95 baht payment in phuket thailand ka,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different baht, review recent credits/debits and verify posting order. In phuket, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 95 BAHT transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different baht payment; city=phuket; rail=standard rail; channel=default channel; time=standard time; local_tone=neutral.",en,mobile,asia_research_qa2016
show current and available balance for account used at night market in woodlands singapore lah,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance night market, refresh balance screen after a short delay to capture late posting updates. In woodlands, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance night market woodlands; city=woodlands; rail=standard rail; channel=default channel; time=standard time; local_tone=lah.",en,mobile,asia_research_qa2016
how can i check my balance on duitnow in kuala lumpur malaysia via agent outlet at late night tak,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance duitnow, refresh balance screen after a short delay to capture late posting updates. In kuala lumpur, duitnow activity through agent outlet at late night can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance duitnow kuala; city=kuala lumpur; rail=duitnow; channel=agent outlet; time=late night; local_tone=tak.",en,mobile,asia_research_qa2016
why is available balance different after 120 php payment in cebu philippines naman,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different 120, open account summary and compare current versus available balance. In cebu, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 120 PHP transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different 120 php; city=cebu; rail=standard rail; channel=default channel; time=standard time; local_tone=naman.",en,mobile,asia_research_qa2016
show current and available balance for account used at school in bengaluru india thoda,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance school bengaluru, review recent credits/debits and verify posting order. In bengaluru, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance school bengaluru india; city=bengaluru; rail=standard rail; channel=default channel; time=standard time; local_tone=thoda.",en,mobile,asia_research_qa2016
how can i check my balance on bank transfer in can tho vietnam via mobile app at evening nhe,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance bank, check latest posted entries and confirm whether any item is still pending. In can tho, bank transfer activity through mobile app at evening can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance bank transfer; city=can tho; rail=bank transfer; channel=mobile app; time=evening; local_tone=nhe.",en,mobile,asia_research_qa2016
why is available balance different after 180 idr payment in jakarta indonesia ya,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different 180, check latest posted entries and confirm whether any item is still pending. In jakarta, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 180 IDR transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different 180 idr; city=jakarta; rail=standard rail; channel=default channel; time=standard time; local_tone=ya.",en,mobile,asia_research_qa2016
show current and available balance for account used at night market in siem reap cambodia ot ban,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance night market, open account summary and compare current versus available balance. In siem reap, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance night market siem; city=siem reap; rail=standard rail; channel=default channel; time=standard time; local_tone=ot ban.",en,mobile,asia_research_qa2016
how can i check my balance on promptpay in phuket thailand via qr scanner at afternoon ka,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance promptpay, open account summary and compare current versus available balance. In phuket, promptpay activity through qr scanner at afternoon can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance promptpay phuket; city=phuket; rail=promptpay; channel=qr scanner; time=afternoon; local_tone=neutral.",en,mobile,asia_research_qa2016
why is available balance different after 250 sgd payment in woodlands singapore lah,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different 250, refresh balance screen after a short delay to capture late posting updates. In woodlands, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 250 SGD transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different 250 sgd; city=woodlands; rail=standard rail; channel=default channel; time=standard time; local_tone=lah.",en,mobile,asia_research_qa2016
show current and available balance for account used at school in kuala lumpur malaysia tak,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance school kuala, refresh balance screen after a short delay to capture late posting updates. In kuala lumpur, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance school kuala lumpur; city=kuala lumpur; rail=standard rail; channel=default channel; time=standard time; local_tone=tak.",en,mobile,asia_research_qa2016
how can i check my balance on gcash in cebu philippines via web banking at morning naman,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance gcash, check latest posted entries and confirm whether any item is still pending. In cebu, gcash activity through web banking at morning can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance gcash cebu; city=cebu; rail=gcash; channel=web banking; time=morning; local_tone=naman.",en,mobile,asia_research_qa2016
why is available balance different after 400 inr payment in bengaluru india thoda,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different 400, check latest posted entries and confirm whether any item is still pending. In bengaluru, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 400 INR transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different 400 inr; city=bengaluru; rail=standard rail; channel=default channel; time=standard time; local_tone=thoda.",en,mobile,asia_research_qa2016
show current and available balance for account used at night market in can tho vietnam nhe,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance night market, refresh balance screen after a short delay to capture late posting updates. In can tho, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance night market tho; city=can tho; rail=standard rail; channel=default channel; time=standard time; local_tone=nhe.",en,mobile,asia_research_qa2016
how can i check my balance on qris in jakarta indonesia via merchant terminal at late night ya,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance qris, check latest posted entries and confirm whether any item is still pending. In jakarta, qris activity through merchant terminal at late night can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance qris jakarta; city=jakarta; rail=qris; channel=merchant terminal; time=late night; local_tone=ya.",en,mobile,asia_research_qa2016
why is available balance different after 15 riel payment in siem reap cambodia ban te,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different riel, refresh balance screen after a short delay to capture late posting updates. In siem reap, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 15 RIEL transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different riel payment; city=siem reap; rail=standard rail; channel=default channel; time=standard time; local_tone=ban te.",en,mobile,asia_research_qa2016
show current and available balance for account used at school in phuket thailand ka case 27,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance school phuket, review recent credits/debits and verify posting order. In phuket, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance school phuket thailand; city=phuket; rail=standard rail; channel=default channel; time=standard time; local_tone=neutral.",en,mobile,asia_research_qa2016
how can i check my balance on paynow in woodlands singapore via agent outlet at evening lah,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance paynow, refresh balance screen after a short delay to capture late posting updates. In woodlands, paynow activity through agent outlet at evening can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance paynow woodlands; city=woodlands; rail=paynow; channel=agent outlet; time=evening; local_tone=lah.",en,mobile,asia_research_qa2016
why is available balance different after 25 myr payment in kuala lumpur malaysia tak,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different myr, check latest posted entries and confirm whether any item is still pending. In kuala lumpur, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 25 MYR transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different myr payment; city=kuala lumpur; rail=standard rail; channel=default channel; time=standard time; local_tone=tak.",en,mobile,asia_research_qa2016
show current and available balance for account used at night market in cebu philippines naman case 30,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance night market, refresh balance screen after a short delay to capture late posting updates. In cebu, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance night market cebu; city=cebu; rail=standard rail; channel=default channel; time=standard time; local_tone=naman.",en,mobile,asia_research_qa2016
how can i check my balance on upi in bengaluru india via mobile app at afternoon thoda,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance upi, check latest posted entries and confirm whether any item is still pending. In bengaluru, upi activity through mobile app at afternoon can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance upi bengaluru; city=bengaluru; rail=upi; channel=mobile app; time=afternoon; local_tone=thoda.",en,mobile,asia_research_qa2016
why is available balance different after 40 vnd payment in can tho vietnam nhe,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different vnd, check latest posted entries and confirm whether any item is still pending. In can tho, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 40 VND transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different vnd payment; city=can tho; rail=standard rail; channel=default channel; time=standard time; local_tone=nhe.",en,mobile,asia_research_qa2016
show current and available balance for account used at school in jakarta indonesia ya case 33,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance school jakarta, open account summary and compare current versus available balance. In jakarta, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance school jakarta indonesia; city=jakarta; rail=standard rail; channel=default channel; time=standard time; local_tone=ya.",en,mobile,asia_research_qa2016
how can i check my balance on bakong in siem reap cambodia via qr scanner at morning nis,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance bakong, refresh balance screen after a short delay to capture late posting updates. In siem reap, bakong activity through qr scanner at morning can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance bakong siem; city=siem reap; rail=bakong; channel=qr scanner; time=morning; local_tone=nis.",en,mobile,asia_research_qa2016
why is available balance different after 55 baht payment in phuket thailand ka,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different baht, check latest posted entries and confirm whether any item is still pending. In phuket, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 55 BAHT transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different baht payment; city=phuket; rail=standard rail; channel=default channel; time=standard time; local_tone=neutral.",en,mobile,asia_research_qa2016
show current and available balance for account used at night market in woodlands singapore lah case 36,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance night market, check latest posted entries and confirm whether any item is still pending. In woodlands, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance night market woodlands; city=woodlands; rail=standard rail; channel=default channel; time=standard time; local_tone=lah.",en,mobile,asia_research_qa2016
how can i check my balance on duitnow in kuala lumpur malaysia via web banking at late night tak,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance duitnow, review recent credits/debits and verify posting order. In kuala lumpur, duitnow activity through web banking at late night can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance duitnow kuala; city=kuala lumpur; rail=duitnow; channel=web banking; time=late night; local_tone=tak.",en,mobile,asia_research_qa2016
why is available balance different after 70 php payment in cebu philippines naman,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different php, refresh balance screen after a short delay to capture late posting updates. In cebu, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 70 PHP transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different php payment; city=cebu; rail=standard rail; channel=default channel; time=standard time; local_tone=naman.",en,mobile,asia_research_qa2016
show current and available balance for account used at school in bengaluru india thoda case 39,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance school bengaluru, check latest posted entries and confirm whether any item is still pending. In bengaluru, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance school bengaluru india; city=bengaluru; rail=standard rail; channel=default channel; time=standard time; local_tone=thoda.",en,mobile,asia_research_qa2016
how can i check my balance on bank transfer in can tho vietnam via merchant terminal at evening nhe,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance bank, review recent credits/debits and verify posting order. In can tho, bank transfer activity through merchant terminal at evening can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance bank transfer; city=can tho; rail=bank transfer; channel=merchant terminal; time=evening; local_tone=nhe.",en,mobile,asia_research_qa2016
why is available balance different after 95 idr payment in jakarta indonesia ya,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different idr, review recent credits/debits and verify posting order. In jakarta, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 95 IDR transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different idr payment; city=jakarta; rail=standard rail; channel=default channel; time=standard time; local_tone=ya.",en,mobile,asia_research_qa2016
show current and available balance for account used at night market in siem reap cambodia knyom,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance night market, open account summary and compare current versus available balance. In siem reap, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance night market siem; city=siem reap; rail=standard rail; channel=default channel; time=standard time; local_tone=knyom.",en,mobile,asia_research_qa2016
how can i check my balance on promptpay in phuket thailand via agent outlet at afternoon ka,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance promptpay, check latest posted entries and confirm whether any item is still pending. In phuket, promptpay activity through agent outlet at afternoon can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance promptpay phuket; city=phuket; rail=promptpay; channel=agent outlet; time=afternoon; local_tone=neutral.",en,mobile,asia_research_qa2016
why is available balance different after 120 sgd payment in woodlands singapore lah,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different 120, check latest posted entries and confirm whether any item is still pending. In woodlands, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 120 SGD transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different 120 sgd; city=woodlands; rail=standard rail; channel=default channel; time=standard time; local_tone=lah.",en,mobile,asia_research_qa2016
show current and available balance for account used at school in kuala lumpur malaysia tak case 45,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance school kuala, open account summary and compare current versus available balance. In kuala lumpur, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance school kuala lumpur; city=kuala lumpur; rail=standard rail; channel=default channel; time=standard time; local_tone=tak.",en,mobile,asia_research_qa2016
how can i check my balance on gcash in cebu philippines via mobile app at morning naman,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance gcash, refresh balance screen after a short delay to capture late posting updates. In cebu, gcash activity through mobile app at morning can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance gcash cebu; city=cebu; rail=gcash; channel=mobile app; time=morning; local_tone=naman.",en,mobile,asia_research_qa2016
why is available balance different after 180 inr payment in bengaluru india thoda,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different 180, refresh balance screen after a short delay to capture late posting updates. In bengaluru, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 180 INR transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different 180 inr; city=bengaluru; rail=standard rail; channel=default channel; time=standard time; local_tone=thoda.",en,mobile,asia_research_qa2016
show current and available balance for account used at night market in can tho vietnam nhe case 48,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance night market, refresh balance screen after a short delay to capture late posting updates. In can tho, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance night market tho; city=can tho; rail=standard rail; channel=default channel; time=standard time; local_tone=nhe.",en,mobile,asia_research_qa2016
how can i check my balance on qris in jakarta indonesia via qr scanner at late night ya,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance qris, refresh balance screen after a short delay to capture late posting updates. In jakarta, qris activity through qr scanner at late night can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance qris jakarta; city=jakarta; rail=qris; channel=qr scanner; time=late night; local_tone=ya.",en,mobile,asia_research_qa2016
why is available balance different after 250 riel payment in siem reap cambodia som help,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different 250, refresh balance screen after a short delay to capture late posting updates. In siem reap, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 250 RIEL transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different 250 riel; city=siem reap; rail=standard rail; channel=default channel; time=standard time; local_tone=som help.",en,mobile,asia_research_qa2016
show current and available balance for account used at school in phuket thailand ka case 51,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance school phuket, refresh balance screen after a short delay to capture late posting updates. In phuket, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance school phuket thailand; city=phuket; rail=standard rail; channel=default channel; time=standard time; local_tone=neutral.",en,mobile,asia_research_qa2016
how can i check my balance on paynow in woodlands singapore via web banking at evening lah,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance paynow, refresh balance screen after a short delay to capture late posting updates. In woodlands, paynow activity through web banking at evening can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance paynow woodlands; city=woodlands; rail=paynow; channel=web banking; time=evening; local_tone=lah.",en,mobile,asia_research_qa2016
why is available balance different after 400 myr payment in kuala lumpur malaysia tak,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different 400, check latest posted entries and confirm whether any item is still pending. In kuala lumpur, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 400 MYR transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different 400 myr; city=kuala lumpur; rail=standard rail; channel=default channel; time=standard time; local_tone=tak.",en,mobile,asia_research_qa2016
show current and available balance for account used at night market in cebu philippines naman case 54,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance night market, open account summary and compare current versus available balance. In cebu, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance night market cebu; city=cebu; rail=standard rail; channel=default channel; time=standard time; local_tone=naman.",en,mobile,asia_research_qa2016
how can i check my balance on upi in bengaluru india via merchant terminal at afternoon thoda,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance upi, check latest posted entries and confirm whether any item is still pending. In bengaluru, upi activity through merchant terminal at afternoon can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance upi bengaluru; city=bengaluru; rail=upi; channel=merchant terminal; time=afternoon; local_tone=thoda.",en,mobile,asia_research_qa2016
why is available balance different after 15 vnd payment in can tho vietnam nhe,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different vnd, open account summary and compare current versus available balance. In can tho, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 15 VND transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different vnd payment; city=can tho; rail=standard rail; channel=default channel; time=standard time; local_tone=nhe.",en,mobile,asia_research_qa2016
show current and available balance for account used at school in jakarta indonesia ya case 57,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance school jakarta, review recent credits/debits and verify posting order. In jakarta, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance school jakarta indonesia; city=jakarta; rail=standard rail; channel=default channel; time=standard time; local_tone=ya.",en,mobile,asia_research_qa2016
how can i check my balance on wing in siem reap cambodia via agent outlet at morning ot ban,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance wing, check latest posted entries and confirm whether any item is still pending. In siem reap, wing activity through agent outlet at morning can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance wing siem; city=siem reap; rail=wing; channel=agent outlet; time=morning; local_tone=ot ban.",en,mobile,asia_research_qa2016
