text,label,intent,response,sub_intent
How do I fix a broken card?,14,card_issue,Use card controls to troubleshoot the card and verify status before retrying.,card_not_working
My top up is giving me problems. What is wrong with it?,59,wallet_topup,Verify funding source details and retry the wallet top up securely.,top_up_failed
I've been trying to make a transfer and it doesn't seem to be working. (5 times) What is wrong with your system?,35,fund_transfer,Verify recipient information and retry the transfer securely.,failed_transfer
How can I activate the new card i got?,0,card_issue,Activate your card through card controls before attempting transactions.,activate_my_card
I tried to transfer but it was declined,27,fund_transfer,"Check transfer limits, balance, and recipient details before retrying the transfer.",declined_transfer
I keep getting an error message when I'm trying to transfer funds! Why aren't you accepting that?,7,fund_transfer,Verify beneficiary eligibility and recipient details before retrying the transfer.,beneficiary_not_allowed
"my card details could be stolen, as i didnt make these transactions",22,card_issue,Freeze the card immediately and report suspicious activity for investigation.,compromised_card
How long do I wait for a transfer from the United States?,67,transaction_status,Transfers may take time depending on settlement windows; monitor status in transaction history.,transfer_timing
Do I need a photo ID to activate a my new card?,0,card_issue,Activate your card through card controls before attempting transactions.,activate_my_card
I tried the wrong PIN too many times.,49,card_issue,Use card settings or support options to unblock or reset the card PIN.,pin_blocked
"There was money taken out of my account, and I'm pretty sure I didn't do it.",20,cash_withdrawal,Report the unrecognized cash withdrawal immediately and secure your account.,cash_withdrawal_not_recognised
"This morning, I tried to send money to my friends several times but each time the transfer fails.  Why does it keep failing?  The transfer gets rejected but I do not know what is causing it to be rejected.",35,fund_transfer,Verify recipient information and retry the transfer securely.,failed_transfer
on my statement there is a payment that I don't recognise,16,fraud_report,Report the unrecognized card payment immediately and secure your account.,card_payment_not_recognised
What is the most I can top-up?,60,wallet_topup,Check wallet top up limits in the app before funding.,top_up_limits
are transfers to a beneficiary possible,7,fund_transfer,Verify beneficiary eligibility and recipient details before retrying the transfer.,beneficiary_not_allowed
"I just got a new card, and I want to know how to activate.",0,card_issue,Activate your card through card controls before attempting transactions.,activate_my_card
"I have checked the account information several times to be sure that it is correct, but the in country transfer I did a few days ago still has not appeared! What is the hold up?",66,transaction_status,Verify recipient details and track transfer status before contacting support.,transfer_not_received_by_recipient
Why does my statement show various transaction times?,63,fraud_report,Review the duplicate charge and contact support if it does not reverse.,transaction_charged_twice
Why is my transfer taking so long to complete?,66,transaction_status,Verify recipient details and track transfer status before contacting support.,transfer_not_received_by_recipient
the exchange rate was different than expected,76,cash_withdrawal,Review the applied exchange rate and contact support if it seems incorrect.,wrong_exchange_rate_for_cash_withdrawal
"I don't think the transaction has gone through, so can I cancel a transfer?",8,fund_transfer,Review pending transfer options and cancel the transfer from transaction controls if allowed.,cancel_transfer
"I have a cash withdrawal that says it's pending, why?",46,cash_withdrawal,Check transaction history to monitor pending cash withdrawal status.,pending_cash_withdrawal
How can I get money in my home currency while I'm traveling internationally? I wanted to take it out of a local ATM but am worried that I will get charged extra fees.,76,cash_withdrawal,Review the applied exchange rate and contact support if it seems incorrect.,wrong_exchange_rate_for_cash_withdrawal
"How long is a top up supposed to be pending, because an hour is too long! Can you fix this to go through?",47,wallet_topup,Track top up status from transaction history and allow time for settlement.,pending_top_up
I cannot withdraw money from the ATM,26,cash_withdrawal,Retry at a supported ATM after confirming withdrawal limits.,declined_cash_withdrawal
Verify top-up card help?,71,wallet_topup,Check transaction history and confirmation records to verify the top up.,verify_top_up
My money I had was gone and I could not get gas!,62,wallet_topup,Use supported funding cards to top up your wallet and verify confirmation.,topping_up_by_card
I should not have been charged a fee for cash withdrawal.,19,cash_withdrawal,Review ATM or network withdrawal fees before retrying.,cash_withdrawal_charge
What am i missing to verify my id?,68,kyc_verification,Resubmit valid identity documents and ensure profile details match exactly.,unable_to_verify_identity
What ATMs will allow me to change my PIN?,21,card_issue,Use card settings to securely change your card PIN.,change_pin
My ABA identity verification failed,992,kyc_verification,Resubmit identity verification documents and ensure ABA profile details match exactly.,verify_my_identity
Why can't I transfer to another account?,7,fund_transfer,Verify beneficiary eligibility and recipient details before retrying the transfer.,beneficiary_not_allowed
I need to order a new card as my other one was stolen.,41,card_issue,Freeze or block the card immediately and request replacement if needed.,lost_or_stolen_card
I can't use my card because it is not working.,14,card_issue,Use card controls to troubleshoot the card and verify status before retrying.,card_not_working
Why can I not do a  transfer,7,fund_transfer,Verify beneficiary eligibility and recipient details before retrying the transfer.,beneficiary_not_allowed
What steps do I have to take to change my PIN?,21,card_issue,Use card settings to securely change your card PIN.,change_pin
Someone used my ABA account without permission,994,fraud_report,Report the unauthorized ABA activity immediately and secure your account.,card_payment_not_recognised
How can i make my card active?,0,card_issue,Activate your card through card controls before attempting transactions.,activate_my_card
What do I do if a transaction shows up twice?,63,fraud_report,Review the duplicate charge and contact support if it does not reverse.,transaction_charged_twice
A transfer has been made in my account that I need to cancel.  This was a mistake on my part and I hope we can get this resolved quickly.,8,fund_transfer,Review pending transfer options and cancel the transfer from transaction controls if allowed.,cancel_transfer
I'm unable to verify my identity,68,kyc_verification,Resubmit valid identity documents and ensure profile details match exactly.,unable_to_verify_identity
Where can I have a new bank card sent to China?,9,card_issue,Check replacement options and update card details if expiration is near.,card_about_to_expire
"My bank app said that I got cash from an ATM, but that's a mistake.",20,cash_withdrawal,Report the unrecognized cash withdrawal immediately and secure your account.,cash_withdrawal_not_recognised
i didnt put that money in my account,20,cash_withdrawal,Report the unrecognized cash withdrawal immediately and secure your account.,cash_withdrawal_not_recognised
How do I find the top-up verification code?,71,wallet_topup,Check transaction history and confirmation records to verify the top up.,verify_top_up
My card was stolen. What do I need to do?,41,card_issue,Freeze or block the card immediately and request replacement if needed.,lost_or_stolen_card
I attempted to withdraw some money from an ATM this morning and received the wrong amount. Your app says I have enough money available in the account. Can someone tell me what's wrong?,75,cash_withdrawal,Keep your receipt and contact support regarding the cash discrepancy.,wrong_amount_of_cash_received
"Hello, is there any way to double check my card? I have never had issues with withdraws in the past, but this morning on the way to work it was unexpectedly declined.",26,cash_withdrawal,Retry at a supported ATM after confirming withdrawal limits.,declined_cash_withdrawal
I punched in the wrong pin too many times and I'm locked out.,49,card_issue,Use card settings or support options to unblock or reset the card PIN.,pin_blocked
Do you support direct deposits from my employer?,50,fund_transfer,Confirm the sender details and check incoming transfer status from transaction history.,receiving_money
"I tried to make a withdrawal from the ATM, but it was cancelled.",26,cash_withdrawal,Retry at a supported ATM after confirming withdrawal limits.,declined_cash_withdrawal
My payment has been declined several times.  Can you help me?,25,card_issue,"Check card controls, available balance, and retry the payment securely.",declined_card_payment
Is there a reason that my top-up is still pending?,47,wallet_topup,Track top up status from transaction history and allow time for settlement.,pending_top_up
"HELP! I tried to get cash and it gave me some, but not the right amount!",75,cash_withdrawal,Keep your receipt and contact support regarding the cash discrepancy.,wrong_amount_of_cash_received
Why would you cancel my transfer?,27,fund_transfer,"Check transfer limits, balance, and recipient details before retrying the transfer.",declined_transfer
"help, I see money missing I didn't take out.",20,cash_withdrawal,Report the unrecognized cash withdrawal immediately and secure your account.,cash_withdrawal_not_recognised
Explain how to verify my identity?,69,kyc_verification,Submit identity documents and track verification progress in the app.,verify_my_identity
I can't seem to use my card. Can you help?,14,card_issue,Use card controls to troubleshoot the card and verify status before retrying.,card_not_working
Why do you keep declining my payment?I tried several times already with this card and it is just not working.,25,card_issue,"Check card controls, available balance, and retry the payment securely.",declined_card_payment
"May monthly payment to Apple has been declined but I don't know why, they are going to re-try the payment and it must go through, can you tell me what is going on please?",25,card_issue,"Check card controls, available balance, and retry the payment securely.",declined_card_payment
When I exchanged currencies the value of my money changed.,76,cash_withdrawal,Review the applied exchange rate and contact support if it seems incorrect.,wrong_exchange_rate_for_cash_withdrawal
"I tried to withdraw $100, all it gave me was $20.",75,cash_withdrawal,Keep your receipt and contact support regarding the cash discrepancy.,wrong_amount_of_cash_received
I took out money from the ATM and it's still showing as pending?,46,cash_withdrawal,Check transaction history to monitor pending cash withdrawal status.,pending_cash_withdrawal
I want to choose a new PIN.,21,card_issue,Use card settings to securely change your card PIN.,change_pin
What needs to be provided for identity verification?,69,kyc_verification,Submit identity documents and track verification progress in the app.,verify_my_identity
Will there be a charge for exchanging foreign currency?,31,fee_inquiry,Review exchange-related charges and fee details before proceeding.,exchange_charge
I just made a transfer from a UK account. How long does that typically take to show up? I just want to make sure it worked alright.,5,transaction_status,Allow time for settlement updates and check account balance again later.,balance_not_updated_after_bank_transfer
Someone that I had to send money to told me that they didn't receive the full amount I sent them - can you look into this?,64,fee_inquiry,Check the transfer fee schedule before confirming the transaction.,transfer_fee_charged
How can my new card be activated?,0,card_issue,Activate your card through card controls before attempting transactions.,activate_my_card
I made a cash withdrawl and there is a charge.  What is this?,19,cash_withdrawal,Review ATM or network withdrawal fees before retrying.,cash_withdrawal_charge
What is the extra fee I was charged when using an ATM?,19,cash_withdrawal,Review ATM or network withdrawal fees before retrying.,cash_withdrawal_charge
How can I cancel a transfer I made,8,fund_transfer,Review pending transfer options and cancel the transfer from transaction controls if allowed.,cancel_transfer
How much can I top up on my card?,60,wallet_topup,Check wallet top up limits in the app before funding.,top_up_limits
They is a payment I don't recognize on my statement.,16,fraud_report,Report the unrecognized card payment immediately and secure your account.,card_payment_not_recognised
Can you tell me what the problem with my card is? It was declined at a restaurant today.,14,card_issue,Use card controls to troubleshoot the card and verify status before retrying.,card_not_working
Money that I have transferred hasn't arrived yet,5,transaction_status,Allow time for settlement updates and check account balance again later.,balance_not_updated_after_bank_transfer
The card payment is declined.  Please inform me why.,25,card_issue,"Check card controls, available balance, and retry the payment securely.",declined_card_payment
I have not seen any changes in my account balance(s) after making a transfer.,48,transaction_status,Track transfer status from transaction history to see pending or completed updates.,pending_transfer
How can my friends top up my account?,62,wallet_topup,Use supported funding cards to top up your wallet and verify confirmation.,topping_up_by_card
Can you please explain how bank transfers work?,65,fund_transfer,"Start a transfer by confirming recipient details, amount, and transfer method before submitting.",transfer_into_account
I see a strange payment in my account.,16,fraud_report,Report the unrecognized card payment immediately and secure your account.,card_payment_not_recognised
"I need to activate my card, how is that done?",0,card_issue,Activate your card through card controls before attempting transactions.,activate_my_card
i tried to do a transfer to an account but it didn't work,7,fund_transfer,Verify beneficiary eligibility and recipient details before retrying the transfer.,beneficiary_not_allowed
Is there any way for you to find my card?,41,card_issue,Freeze or block the card immediately and request replacement if needed.,lost_or_stolen_card
What can I do if my card details where stolen from my car? I think they used my card to buy gas.,22,card_issue,Freeze the card immediately and report suspicious activity for investigation.,compromised_card
"Hearing about your verification results from us may take anywhere from 10 minutes to approximately one hour.  If this verification has in fact, failed, double-check to make sure that your images are clear.  Also make sure that your document photos have no blur or glare. They need to be readable.  You must also be 18 years of age or older and be a resident of Switzerland or the European Economic Area to open an account.",68,kyc_verification,Resubmit valid identity documents and ensure profile details match exactly.,unable_to_verify_identity
"Someone has a copy of my card !! I definitely still have it here but someone just made a 500£ cash withdrawal, HELP!",20,cash_withdrawal,Report the unrecognized cash withdrawal immediately and secure your account.,cash_withdrawal_not_recognised
Can I use my salary for this?,50,fund_transfer,Confirm the sender details and check incoming transfer status from transaction history.,receiving_money
My transfer failed to a beneficiary,7,fund_transfer,Verify beneficiary eligibility and recipient details before retrying the transfer.,beneficiary_not_allowed
Why wouldn't the ATM give me my money?,26,cash_withdrawal,Retry at a supported ATM after confirming withdrawal limits.,declined_cash_withdrawal
My top-up appears to be pending.,47,wallet_topup,Track top up status from transaction history and allow time for settlement.,pending_top_up
What is the max amount of top-ups?,60,wallet_topup,Check wallet top up limits in the app before funding.,top_up_limits
I don't need to transfer anymore and I want to cancel it.,8,fund_transfer,Review pending transfer options and cancel the transfer from transaction controls if allowed.,cancel_transfer
I'm having problems with ID verification,68,kyc_verification,Resubmit valid identity documents and ensure profile details match exactly.,unable_to_verify_identity
I entered in the wrong PIN.  Please help me unlock my account.,49,card_issue,Use card settings or support options to unblock or reset the card PIN.,pin_blocked
How do I get unblocked?,49,card_issue,Use card settings or support options to unblock or reset the card PIN.,pin_blocked
I have a transaction showing up more than once.,63,fraud_report,Review the duplicate charge and contact support if it does not reverse.,transaction_charged_twice
I made a transfer to my friend earlier and she hasn't received it yet.  What's the hold up?,66,transaction_status,Verify recipient details and track transfer status before contacting support.,transfer_not_received_by_recipient
My wallet doesn't show my recent top up.,62,wallet_topup,Use supported funding cards to top up your wallet and verify confirmation.,topping_up_by_card
"I might be paranoid, but someone may be using my card.",22,card_issue,Freeze the card immediately and report suspicious activity for investigation.,compromised_card
What was the issue with my topping up?,59,wallet_topup,Verify funding source details and retry the wallet top up securely.,top_up_failed
"I don't recognize this payment on my app, I am sure I didn't spend any money there.",16,fraud_report,Report the unrecognized card payment immediately and secure your account.,card_payment_not_recognised
How do I transfer money between two of my accounts?,65,fund_transfer,"Start a transfer by confirming recipient details, amount, and transfer method before submitting.",transfer_into_account
How do I activate my new card I just got?,0,card_issue,Activate your card through card controls before attempting transactions.,activate_my_card
I am having a problem proving who I am,68,kyc_verification,Resubmit valid identity documents and ensure profile details match exactly.,unable_to_verify_identity
What do I do if I have exceeded all my PIN tries?,49,card_issue,Use card settings or support options to unblock or reset the card PIN.,pin_blocked
"I Withdrew cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I received the cash already?",46,cash_withdrawal,Check transaction history to monitor pending cash withdrawal status.,pending_cash_withdrawal
I could not get my card to work at a shop.,25,card_issue,"Check card controls, available balance, and retry the payment securely.",declined_card_payment
"
I can't seem to be able to use my card


",14,card_issue,Use card controls to troubleshoot the card and verify status before retrying.,card_not_working
"Hello, in these holidays i have been overcharged on the amount i have withdrawn on one of your ATMs. I did not had any clue about the horrible charges otherwise i would not have withdrawn.",76,cash_withdrawal,Review the applied exchange rate and contact support if it seems incorrect.,wrong_exchange_rate_for_cash_withdrawal
I got charged a fee that shouldn't be there from my cash,19,cash_withdrawal,Review ATM or network withdrawal fees before retrying.,cash_withdrawal_charge
I would like to receive instructions showing the verification process for top up cards..,71,wallet_topup,Check transaction history and confirmation records to verify the top up.,verify_top_up
What are the steps for identity checks?,69,kyc_verification,Submit identity documents and track verification progress in the app.,verify_my_identity
"The transfer keeps failing - I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, I have no idea why",35,fund_transfer,Verify recipient information and retry the transfer securely.,failed_transfer
"My transfer was wrong, are you able to stop it before it goes through please?",8,fund_transfer,Review pending transfer options and cancel the transfer from transaction controls if allowed.,cancel_transfer
The atm didn'y give me all the cash,75,cash_withdrawal,Keep your receipt and contact support regarding the cash discrepancy.,wrong_amount_of_cash_received
Why do I need to verify my identity?,74,kyc_verification,Identity verification helps secure your account and meet compliance requirements.,why_verify_identity
Why was I double charged?,63,fraud_report,Review the duplicate charge and contact support if it does not reverse.,transaction_charged_twice
I did a transfer.  What is the extra fee?,64,fee_inquiry,Check the transfer fee schedule before confirming the transaction.,transfer_fee_charged
"My ATM transaction shorted me on cash, and I think the exchange rate was wrong. Did I receive the correct rate?",76,cash_withdrawal,Review the applied exchange rate and contact support if it seems incorrect.,wrong_exchange_rate_for_cash_withdrawal
"I desperately need to transfer something from China, Please give me the wait time.",67,transaction_status,Transfers may take time depending on settlement windows; monitor status in transaction history.,transfer_timing
What happens if the ATM gives me the wrong amount of money?,75,cash_withdrawal,Keep your receipt and contact support regarding the cash discrepancy.,wrong_amount_of_cash_received
I found the exchange rate for my cash withdrawal is wrong,76,cash_withdrawal,Review the applied exchange rate and contact support if it seems incorrect.,wrong_exchange_rate_for_cash_withdrawal
"I need to verify a payment to my new landlord. I transferred the first rent payment a few days ago. While it shows on my side, the landlord is saying he hasn't received it yet. Can you verify that it has processed?",66,transaction_status,Verify recipient details and track transfer status before contacting support.,transfer_not_received_by_recipient
What happens when my card expires?,9,card_issue,Check replacement options and update card details if expiration is near.,card_about_to_expire
My transfer didn't work how come?,35,fund_transfer,Verify recipient information and retry the transfer securely.,failed_transfer
A transaction to a friend still hasn't shown up.,66,transaction_status,Verify recipient details and track transfer status before contacting support.,transfer_not_received_by_recipient
My funds must be verified,70,kyc_verification,Provide supporting documents to complete source-of-funds verification.,verify_source_of_funds
Why was I unable to complete my transfer?,35,fund_transfer,Verify recipient information and retry the transfer securely.,failed_transfer
I got charged fees for withdrawing cash!,19,cash_withdrawal,Review ATM or network withdrawal fees before retrying.,cash_withdrawal_charge
I tried to transfer some money and it hasn't done it yet - what's going on?,66,transaction_status,Verify recipient details and track transfer status before contacting support.,transfer_not_received_by_recipient
"I can't find my card, it is lost.",41,card_issue,Freeze or block the card immediately and request replacement if needed.,lost_or_stolen_card
"I completed a transfer within the UK two days ago, but it is still not showing received.  I have verified the account number is correct already.  Is there anything else I need to do or is there a problem?",66,transaction_status,Verify recipient details and track transfer status before contacting support.,transfer_not_received_by_recipient
I tried to do a transfer but it didn't go through.,35,fund_transfer,Verify recipient information and retry the transfer securely.,failed_transfer
I need to change my card PIN.,21,card_issue,Use card settings to securely change your card PIN.,change_pin
Why was I not able to take cash from the ATM?,26,cash_withdrawal,Retry at a supported ATM after confirming withdrawal limits.,declined_cash_withdrawal
I set up a payment to a new payee and sent some money but the person I'm sending it to has not received it.  Can you check where the money is?,66,transaction_status,Verify recipient details and track transfer status before contacting support.,transfer_not_received_by_recipient
I am planning activating my card was it possible?,0,card_issue,Activate your card through card controls before attempting transactions.,activate_my_card
Why do we need to verify a top-up card?,71,wallet_topup,Check transaction history and confirmation records to verify the top up.,verify_top_up
I couldn't get the money I needed.,75,cash_withdrawal,Keep your receipt and contact support regarding the cash discrepancy.,wrong_amount_of_cash_received
I didn't do a payment and I have it now.,16,fraud_report,Report the unrecognized card payment immediately and secure your account.,card_payment_not_recognised
Can friends transfer money to each other?,50,fund_transfer,Confirm the sender details and check incoming transfer status from transaction history.,receiving_money
Tell me how I can verify a card top-up.,71,wallet_topup,Check transaction history and confirmation records to verify the top up.,verify_top_up
How often can I top up?,60,wallet_topup,Check wallet top up limits in the app before funding.,top_up_limits
Can I transfer money to my card via bank-transfer?,65,fund_transfer,"Start a transfer by confirming recipient details, amount, and transfer method before submitting.",transfer_into_account
Are there ways for other people to send me money?,50,fund_transfer,Confirm the sender details and check incoming transfer status from transaction history.,receiving_money
Is it ok for a friend to send me money?,50,fund_transfer,Confirm the sender details and check incoming transfer status from transaction history.,receiving_money
"If I exchange currencies frequently, is there a discount?",31,fee_inquiry,Review exchange-related charges and fee details before proceeding.,exchange_charge
Tell me why my topup wouldn't go through?,59,wallet_topup,Verify funding source details and retry the wallet top up securely.,top_up_failed
What should I do if I have used all of my PIN tries?,49,card_issue,Use card settings or support options to unblock or reset the card PIN.,pin_blocked
May I get my salary paid out in a different currency?,50,fund_transfer,Confirm the sender details and check incoming transfer status from transaction history.,receiving_money
How do I get my card to work?,14,card_issue,Use card controls to troubleshoot the card and verify status before retrying.,card_not_working
How fast are transfers from Europe?,67,transaction_status,Transfers may take time depending on settlement windows; monitor status in transaction history.,transfer_timing
I couldn't transfer to an account.,7,fund_transfer,Verify beneficiary eligibility and recipient details before retrying the transfer.,beneficiary_not_allowed
Is it really necessary to verify my Identity?,74,kyc_verification,Identity verification helps secure your account and meet compliance requirements.,why_verify_identity
when does my balance update for a transfer,5,transaction_status,Allow time for settlement updates and check account balance again later.,balance_not_updated_after_bank_transfer
Am I able to stop a transfer?,8,fund_transfer,Review pending transfer options and cancel the transfer from transaction controls if allowed.,cancel_transfer
"It is still pending, I am still waiting. Your system just shows my top-up as pending. What is happening?",47,wallet_topup,Track top up status from transaction history and allow time for settlement.,pending_top_up
Why is verification for my identity needed?,74,kyc_verification,Identity verification helps secure your account and meet compliance requirements.,why_verify_identity
Is there a topping up limit?,60,wallet_topup,Check wallet top up limits in the app before funding.,top_up_limits
What is this strange payment in my account?,16,fraud_report,Report the unrecognized card payment immediately and secure your account.,card_payment_not_recognised
What should I do if I see a withdrawal is pending?,46,cash_withdrawal,Check transaction history to monitor pending cash withdrawal status.,pending_cash_withdrawal
"I made a card payment, but it has been declined?",25,card_issue,"Check card controls, available balance, and retry the payment securely.",declined_card_payment
I am trying to transfer money and something is going wrong.,35,fund_transfer,Verify recipient information and retry the transfer securely.,failed_transfer
An overseas cash transfer did not work correctly,76,cash_withdrawal,Review the applied exchange rate and contact support if it seems incorrect.,wrong_exchange_rate_for_cash_withdrawal
Can you tell me how I would go about learning where my funds came from?,70,kyc_verification,Provide supporting documents to complete source-of-funds verification.,verify_source_of_funds
Why did my transfer not work?,35,fund_transfer,Verify recipient information and retry the transfer securely.,failed_transfer
Do you think you're asking for too much information about me?,74,kyc_verification,Identity verification helps secure your account and meet compliance requirements.,why_verify_identity
I can't get any money from my account.,26,cash_withdrawal,Retry at a supported ATM after confirming withdrawal limits.,declined_cash_withdrawal
Is there a fee for a cash withdrawal?,19,cash_withdrawal,Review ATM or network withdrawal fees before retrying.,cash_withdrawal_charge
"In reviewing my statement, I show I have two charges for the same purchase at the same time, which I have not made in duplicate? How do I get this solved?",63,fraud_report,Review the duplicate charge and contact support if it does not reverse.,transaction_charged_twice
Please help.  There is a payment in the app that isn't mine.,16,fraud_report,Report the unrecognized card payment immediately and secure your account.,card_payment_not_recognised
How do I add money to my card?,62,wallet_topup,Use supported funding cards to top up your wallet and verify confirmation.,topping_up_by_card
I tried pulling out money at the ATM and it gave me an incorrect amount back.,75,cash_withdrawal,Keep your receipt and contact support regarding the cash discrepancy.,wrong_amount_of_cash_received
i need to proof my identity to you why and how?,74,kyc_verification,Identity verification helps secure your account and meet compliance requirements.,why_verify_identity
My transfer failed,35,fund_transfer,Verify recipient information and retry the transfer securely.,failed_transfer
Can you tell me why my transfer declined?,27,fund_transfer,"Check transfer limits, balance, and recipient details before retrying the transfer.",declined_transfer
How do I verify my identity?,69,kyc_verification,Submit identity documents and track verification progress in the app.,verify_my_identity
Do you offer any discounts for someone who exchanges currencies frequently?,31,fee_inquiry,Review exchange-related charges and fee details before proceeding.,exchange_charge
Can friends send me money?,50,fund_transfer,Confirm the sender details and check incoming transfer status from transaction history.,receiving_money
Is there a way to change my PIN without having to go to the bank?,21,card_issue,Use card settings to securely change your card PIN.,change_pin
I made a cash withdrawal and was charged a fee incorrectly can you help with this?,19,cash_withdrawal,Review ATM or network withdrawal fees before retrying.,cash_withdrawal_charge
What documents do I need to get together to verify my identity?,69,kyc_verification,Submit identity documents and track verification progress in the app.,verify_my_identity
My transfer to my account is missing.,5,transaction_status,Allow time for settlement updates and check account balance again later.,balance_not_updated_after_bank_transfer
Tell me what I need to do to activate my card.,0,card_issue,Activate your card through card controls before attempting transactions.,activate_my_card
My credit card got declined for top up! What's going on? Can you check on why it didn't go through?,59,wallet_topup,Verify funding source details and retry the wallet top up securely.,top_up_failed
what I need to verify my account,74,kyc_verification,Identity verification helps secure your account and meet compliance requirements.,why_verify_identity
"There are a few transaction that I don't recognize, I think someone managed to get my card details and use it.
",22,card_issue,Freeze the card immediately and report suspicious activity for investigation.,compromised_card
Is there a limit to how much I can top up?,60,wallet_topup,Check wallet top up limits in the app before funding.,top_up_limits
What do I do if I forgot my PIN?,49,card_issue,Use card settings or support options to unblock or reset the card PIN.,pin_blocked
I need a transfer cancelled.,8,fund_transfer,Review pending transfer options and cancel the transfer from transaction controls if allowed.,cancel_transfer
I tried using my card at multiple vendors and now it's not working.,14,card_issue,Use card controls to troubleshoot the card and verify status before retrying.,card_not_working
Why is there a random payment in my statement?,16,fraud_report,Report the unrecognized card payment immediately and secure your account.,card_payment_not_recognised
How can I prove the source of my funds?,70,kyc_verification,Provide supporting documents to complete source-of-funds verification.,verify_source_of_funds
There is a transfer not showing on my account.,5,transaction_status,Allow time for settlement updates and check account balance again later.,balance_not_updated_after_bank_transfer
What is the time for a transfer?,66,transaction_status,Verify recipient details and track transfer status before contacting support.,transfer_not_received_by_recipient
Where did my deposit for my source of funds come from?,70,kyc_verification,Provide supporting documents to complete source-of-funds verification.,verify_source_of_funds
How long do transfers take to go though,5,transaction_status,Allow time for settlement updates and check account balance again later.,balance_not_updated_after_bank_transfer
Cash withdrawal was incorrect at ATM.,75,cash_withdrawal,Keep your receipt and contact support regarding the cash discrepancy.,wrong_amount_of_cash_received
"I was charged twice for a restaurant, can you take the second charge off?",63,fraud_report,Review the duplicate charge and contact support if it does not reverse.,transaction_charged_twice
How can I transfer money between accounts?,65,fund_transfer,"Start a transfer by confirming recipient details, amount, and transfer method before submitting.",transfer_into_account
I'm trying to make a bank transfer but It's not going through. Could there not be enough funds to transfer or something? Have I done it too many times?,35,fund_transfer,Verify recipient information and retry the transfer securely.,failed_transfer
Please provide currency exchange rates,31,fee_inquiry,Review exchange-related charges and fee details before proceeding.,exchange_charge
"There are transactions that I did not make on my account, I think someone has my information.",22,card_issue,Freeze the card immediately and report suspicious activity for investigation.,compromised_card
What do I do if I think someone has used my card without permission? I can see a few transactions I don't recognize.,22,card_issue,Freeze the card immediately and report suspicious activity for investigation.,compromised_card
What is the average pending time for a transaction?,48,transaction_status,Track transfer status from transaction history to see pending or completed updates.,pending_transfer
My PIN has been blocked.,49,card_issue,Use card settings or support options to unblock or reset the card PIN.,pin_blocked
